geo_key_id,geo_type,geo_value
1,county,01000
2,county,01001
3,county,01003
4,county,01005
5,county,01007
6,county,01009
7,county,01011
8,county,01013
9,county,01015
10,county,01017
11,county,01019
12,county,01021
2229,county,01023
13,county,01025
14,county,01027
2230,county,01029
15,county,01031
16,county,01033
17,county,01035
18,county,01037
2379,county,01039
2380,county,01041
19,county,01043
20,county,01045
2289,county,01047
21,county,01049
22,county,01051
2335,county,01053
23,county,01055
24,county,01057
25,county,01059
26,county,01061
2462,county,01063
27,county,01065
28,county,01067
29,county,01069
30,county,01071
31,county,01073
32,county,01075
33,county,01077
34,county,01079
35,county,01081
36,county,01083
37,county,01085
38,county,01087
39,county,01089
2433,county,01091
4134,county,01093
40,county,01095
41,county,01097
2143,county,01099
42,county,01101
43,county,01103
4433,county,01105
2115,county,01107
4434,county,01109
2463,county,01111
44,county,01113
45,county,01115
46,county,01117
2434,county,01119
47,county,01121
48,county,01123
49,county,01125
50,county,01127
2231,county,01129
4435,county,01131
2199,county,01133
51,county,02000
4436,county,02013
4437,county,02016
52,county,02020
4438,county,02050
4439,county,02060
5415,county,02063
5416,county,02066
4440,county,02068
4441,county,02070
2144,county,02090
4442,county,02100
4443,county,02105
4117,county,02110
2336,county,02122
4444,county,02130
4445,county,02150
4446,county,02158
4447,county,02164
53,county,02170
4448,county,02180
4449,county,02185
4450,county,02188
4451,county,02195
4452,county,02198
4453,county,02220
4454,county,02230
4455,county,02240
4456,county,02261
5393,county,02270
4457,county,02275
4458,county,02282
4459,county,02290
2232,county,04000
54,county,04001
55,county,04003
56,county,04005
57,county,04007
58,county,04009
59,county,04011
2233,county,04012
60,county,04013
61,county,04015
62,county,04017
63,county,04019
64,county,04021
65,county,04023
66,county,04025
67,county,04027
68,county,05000
69,county,05001
70,county,05003
71,county,05005
72,county,05007
73,county,05009
2101,county,05011
74,county,05013
75,county,05015
4460,county,05017
76,county,05019
77,county,05021
78,county,05023
79,county,05025
80,county,05027
81,county,05029
82,county,05031
83,county,05033
84,county,05035
85,county,05037
2464,county,05039
86,county,05041
87,county,05043
88,county,05045
89,county,05047
90,county,05049
91,county,05051
92,county,05053
2234,county,05055
93,county,05057
2337,county,05059
2132,county,05061
94,county,05063
95,county,05065
2381,county,05067
96,county,05069
97,county,05071
2465,county,05073
98,county,05075
99,county,05077
4461,county,05079
4462,county,05081
100,county,05083
101,county,05085
102,county,05087
2235,county,05089
103,county,05091
104,county,05093
105,county,05095
4463,county,05097
4464,county,05099
2133,county,05101
2338,county,05103
106,county,05105
107,county,05107
2339,county,05109
108,county,05111
109,county,05113
110,county,05115
111,county,05117
112,county,05119
113,county,05121
4465,county,05123
114,county,05125
4466,county,05127
2236,county,05129
115,county,05131
116,county,05133
2466,county,05135
4467,county,05137
117,county,05139
4468,county,05141
118,county,05143
119,county,05145
2237,county,05147
2134,county,05149
120,county,06000
121,county,06001
4469,county,06003
122,county,06005
123,county,06007
124,county,06009
125,county,06011
126,county,06013
4171,county,06015
127,county,06017
128,county,06019
2177,county,06021
129,county,06023
130,county,06025
2382,county,06027
131,county,06029
132,county,06031
133,county,06033
2435,county,06035
134,county,06037
135,county,06039
136,county,06041
2116,county,06043
137,county,06045
138,county,06047
4470,county,06049
4471,county,06051
139,county,06053
140,county,06055
141,county,06057
142,county,06059
143,county,06061
2383,county,06063
144,county,06065
145,county,06067
146,county,06069
147,county,06071
148,county,06073
149,county,06075
150,county,06077
151,county,06079
152,county,06081
153,county,06083
154,county,06085
155,county,06087
156,county,06089
4472,county,06091
2135,county,06093
157,county,06095
158,county,06097
159,county,06099
160,county,06101
2068,county,06103
4473,county,06105
161,county,06107
2069,county,06109
162,county,06111
163,county,06113
2022,county,06115
164,county,08000
165,county,08001
166,county,08003
167,county,08005
168,county,08007
2145,county,08009
169,county,08011
170,county,08013
4109,county,08014
171,county,08015
2117,county,08017
172,county,08019
2384,county,08021
4474,county,08023
2104,county,08025
173,county,08027
174,county,08029
175,county,08031
4475,county,08033
176,county,08035
177,county,08037
178,county,08039
179,county,08041
180,county,08043
181,county,08045
4476,county,08047
2146,county,08049
2178,county,08051
4477,county,08053
2105,county,08055
2097,county,08057
