What is the file name you are looking at? (A or B),Ranking By Concerning [Row 1],Ranking By Concerning [Row 2],Ranking By Concerning [Row 3],Ranking By Concerning [Row 4],Ranking By Concerning [Row 5],Explanation/Exploration 1,Explanation/Exploration 2,Explanation/Exploration 3,Explanation/Exploration 4,Explanation/Exploration 5,What is the file name you are looking at? (A or B),Ranking By Concerning [Row 1],Ranking By Concerning [Row 2],Ranking By Concerning [Row 3],Ranking By Concerning [Row 4],Ranking By Concerning [Row 5],Explanation/Exploration 1,Explanation/Exploration 2,Explanation/Exploration 3,Explanation/Exploration 4,Explanation/Exploration 5
A,N/A,(5) Most,2,N/A,2,,,,,,B,(1) A Little,(N/A) Not,4,2,(N/A) Not,,,,,
A,(1) A Little,2,(5) Most,(3) Somewhat,4,,,,,,B,(3) Somewhat,(N/A) Not,4,(5) Most,(N/A) Not,,,,,
A,(3) Somewhat,(5) Most,(5) Most,(1) A Little,4,"There seems to be a small but steady rise in hospital admissions here. While it is not a rapid change, it seems to be a sustained change which is concerning.",This point appears to be indicating a large rapid surge in doctor visits which is similar to previous surges in the data stream. The data warrants further investigation as it may be an indicator of a surge in infection rates. ,"This point appears to be either in the middle of a large surge, or at a potential peak. This makes the point particularly interesting as the subject of further investigation as the information indicated here can either lead to further preventative measures, or an increase in ongoing measures to further reverse the trend shown leading up to the current point.","This appears to be a long-term sustained upward trend which doesn't make the selected point particularly interesting, but in general a point like this at the end of a sustained trend may still be interesting to investigate as it may reveal a larger pattern in the data.","This point is also in the middle of a smaller surge in doctor visits. Based on the scale of previous surges, it appears interesting to investigate as it may be a potential peak.",B,4,(1) A Little,(5) Most,(5) Most,(1) A Little,This surge in doctor visits is a little concerning expecially when considered on a scale of most recent trends (for the past ~3-4 months) as it shows a surge on the same scale as the rest of the upward trends in the rest of the data in this subset. It warrants some investigation as a result.,"This appears to be in the middle of a sustained upward trend. Whiel this point in particular may not be interesting or concerning in particular when considered in context, it definitely may reveal some information about this trend. ",This is a very concerning point as it is in the middle of a very large and rapid upward trend in the data which indicates that there is either an issue with reporting (note data sparsity in other portions of the graph) or there is a very concerning change taking place on a scale which hasn't occurred since the beginning of the data signal available to us.,"Also a very concerning point as it is in the middle of a large and rapid upward trend in data which is not seen recently in the data stream. It is more likely that this point is of actual concern since the signal is not sparse and while the data was trending on average downward previously, it is now surging back up.","This point in particular is not very concerning as it is in the middle of a sustained and steady trend upward. The trend itself if interesting, but this point does not deviate from a constant trend, making it less concerning than say a point at the beginning of this trend (ie. june 30 - july 5th 2023)"
A,N/A,(5) Most,(1) A Little,N/A,4,Red dot is part of an established trend shared with sibling and parent streams,Red dot is part of an established trend *not* shared with sibling or parent streams; extremely outside,"Red dot is the high point of a bump just outside of sibling and parent behavior, just barely multi-day",Red dot is part of an established trend shared with sibling and parent streams (even moreso than #1),Red dot is part of an established trend *not* shared with sibling or parent streams; less extreme than #2 outside,B,4,(N/A) Not,(5) Most,(1) A Little,(N/A) Not,Red dot is part of a continuing trend taking it outside sibling and parent streams,Red dot is consistent with recent behavior and inside sibling and parent streams,Red dot is part of an abrupt trend taking it outside sibling and parent streams,Red dot is part of a noisy sort of trend taking it just barely outside of sibling and parent streams,Red dot is consistent with recent behavior and inside sibling and parent streams
A,(1) A Little,(3) Somewhat,2,N/A,2,,,,,,B,(N/A) Not,(N/A) Not,(5) Most,(3) Somewhat,(N/A) Not,,,,,
A,(1) A Little,(5) Most,N/A,N/A,2,This shows a trend that is increasing in populatiton at a positive rate while the national value is decreasing.,This shows a huge spike in this specific region that does not happen to be reflected in the parent or sibling streams. This seems highly suspicious and is either a data issue or a public health issue.,Seems to be an overall noisy signal. No obvious trend is shown and I believe this point to be within standard variance of the data given.,Does not seem to be inconsistent with the parent or national data.,"This is showing a trend higher than the national value. Traditionally, this signal looks rather noisy, so I would not say this is overly concerning, but it it something to keep an eye on to see if it is part of a typical ebb and flow or a surge.",B,2,(N/A) Not,(5) Most,(1) A Little,(N/A) Not,"Looks like a concerning trend, but the history is rather noisy and full of peaks that aren't represented in the national value. Could be noise, could be ","Unconcerning, seems to follow the national trend",Wild spike,"upward trend not seen in other streams, could be of interest","Unconcerning, seems to be very close to the national stream"
A,N/A,(3) Somewhat,N/A,N/A,N/A,The red point is only increasing at very small increments and matches the national value closely,"The red point has experienced 3 consecutive days of significant increasing values, especially after a month or so of steady numbers below national value","The red point follows national value relatively closely, and has historically be volatile in small increments, in amounts essentially less than .5",The red point closely follows national value and is significantly less than peaks from December through March,"Through the red point is slightly higher than national value, it's maintaining a regular pattern of small increments of volatility, not nearly reaching peaks seen in November through January",B,(N/A) Not,(N/A) Not,(3) Somewhat,(5) Most,(N/A) Not,"The red point is not significantly higher than national value, and is experiencing a pattern similar to prior three months, and hasn't reached even some of the values of lower peaks in April and June",The red point is below national value and barely experiencing an upward trend,"There is are a few gaps in the data in the yearly history, the red point is on its second day of significant increase","Observing the bigger scale (state) and population, the red point is showing significant increase matching the high values seen in March",The red point is following national value and at a very low value as compared with peaks in February and even a small peak around June 6
A,N/A,(5) Most,(1) A Little,N/A,(1) A Little,,,,,,B,2,(N/A) Not,(5) Most,(5) Most,(N/A) Not,,,,,
A,2,(5) Most,(1) A Little,N/A,4,"While the number of hospital admissions is rising, it's still low, and there have been similar rises over the last 2 months which fell before growing worryingly high.","Hospital admissions are climbing very rapidly, matching previous points on the chart in which admissions spiked very high.","Although the sudden spike is attention-grabbing, the rate seems to be falling after the red dot, and the dot is well within the normal range of the last several months.","While the admissions rate is rising steadily, it's at a very slow pace and is not part of an irregular spike.","The sudden spike shows no signs of slowing, but the county population is lower than that of county 2, and the spike has not yet reached the same height either.",B,2,(N/A) Not,(3) Somewhat,(5) Most,(N/A) Not,"The spike is worrying, but historical trends over the last year have similar spikes which rarely go higher.","The value remains low, and is in line with the recent values.","The sudden large spike is concerning, particularly in a high-population area. ","The spike is extremely high in comparison to the other data streams, as well as being over a much larger population.","The admission rate is rising steadily but slowly, and doesn't show a spike that would be associated with a new outbreak."
A,N/A,N/A,(1) A Little,N/A,(1) A Little,consistent with trend,consistent with trend,"consistent with trend, but change of direction makes it seem like it might be an error",consistent with trend,consistent with trend,B,(N/A) Not,(N/A) Not,4,(1) A Little,(3) Somewhat,within range of recent variation,within range of recent variation,far from recent values,far from recent values but data overall noisier so maybe ok,continuation of recent trend
